date,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,Day_of_Week,Month,month,day_of_week,is_weekend,quarter,usage_cpu_lag1,usage_cpu_lag3,usage_cpu_lag7,cpu_roll_mean_7,cpu_roll_max_7,cpu_roll_min_7,cpu_roll_mean_30,cpu_roll_max_30,cpu_roll_min_30,cpu_total,cpu_utilization,storage_allocated,storage_efficiency,weather_index,power_outage_flag,price_change,region_EAST US,region_NORTH EUROPE,region_SOUTHEAST ASIA,region_WEST US,resource_type_Container,resource_type_Storage,resource_type_VM,Region,ResourceType
01-01-2023,76,1582,369,104.97,0.99,1,6,1,1,6,1,1,88,88,88,76,76,76,76,76,76,99,0.767676768,1992,0.794176707,2,0,-0.020455522,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Southeast Asia,Storage
01-01-2023,77,1199,470,104.97,0.99,1,6,1,1,6,1,1,88,88,88,77,77,77,77,77,77,99,0.777777778,1995,0.601002506,2,0,0.026922315,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Southeast Asia,Container
02-01-2023,96,1457,250,106.48,1.15,0,0,1,1,0,0,1,88,88,88,92,96,88,92,96,88,99,0.96969697,1994,0.730692076,0,0,0.012466357,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,East US,VM
02-01-2023,93,1767,330,106.48,1.15,0,0,1,1,0,0,1,92,88,88,92.5,93,92,92.5,93,92,99,0.939393939,1992,0.887048193,2,0,-0.011806036,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,East US,Storage
02-01-2023,86,1146,220,106.48,1.15,0,0,1,1,0,0,1,70,88,88,78,86,70,78,86,70,99,0.868686869,1995,0.57443609,1,0,-0.029431274,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,East US,Container
02-01-2023,58,666,473,106.48,1.15,0,0,1,1,0,0,1,60,88,88,59,60,58,59,60,58,99,0.585858586,1994,0.334002006,0,0,-0.037861358,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,West US,VM
02-01-2023,53,1100,213,106.48,1.15,0,0,1,1,0,0,1,85,88,88,69,85,53,69,85,53,99,0.535353535,1992,0.552208835,1,0,0.011501297,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,West US,Storage
02-01-2023,99,1276,252,106.48,1.15,0,0,1,1,0,0,1,52,88,88,75.5,99,52,75.5,99,52,99,1,1995,0.639598997,1,0,0.027463378,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,West US,Container
02-01-2023,51,1863,291,106.48,1.15,0,0,1,1,0,0,1,73,88,88,62,73,51,62,73,51,99,0.515151515,1994,0.934302909,1,0,0.014390425,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,North Europe,VM
02-01-2023,96,1455,463,106.48,1.15,0,0,1,1,0,0,1,51,88,88,73.5,96,51,73.5,96,51,99,0.96969697,1992,0.730421687,1,0,0.003030213,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,North Europe,Storage
02-01-2023,96,534,405,106.48,1.15,0,0,1,1,0,0,1,82,88,88,89,96,82,89,96,82,99,0.96969697,1995,0.267669173,0,0,-0.045804878,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Europe,Container
02-01-2023,66,1911,201,106.48,1.15,0,0,1,1,0,0,1,93,88,88,79.5,93,66,79.5,93,66,99,0.666666667,1994,0.958375125,0,0,0.046848878,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Southeast Asia,VM
02-01-2023,55,1065,305,106.48,1.15,0,0,1,1,0,0,1,76,88,88,65.5,76,55,65.5,76,55,99,0.555555556,1992,0.534638554,1,0,0.029871419,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Southeast Asia,Storage
02-01-2023,53,1202,417,106.48,1.15,0,0,1,1,0,0,1,77,88,88,65,77,53,65,77,53,99,0.535353535,1995,0.602506266,1,0,-0.020717796,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Southeast Asia,Container
03-01-2023,93,661,401,97.66,0.98,0,1,1,1,1,0,1,96,88,88,92.33333333,96,88,92.33333333,96,88,99,0.939393939,1994,0.331494483,0,0,0.047997033,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,East US,VM
03-01-2023,85,769,470,97.66,0.98,0,1,1,1,1,0,1,93,88,88,90,93,85,90,93,85,99,0.858585859,1992,0.386044177,0,0,0.010188159,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,East US,Storage
03-01-2023,57,1985,414,97.66,0.98,0,1,1,1,1,0,1,86,88,88,71,86,57,71,86,57,99,0.575757576,1995,0.994987469,0,0,0.008242266,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,East US,Container
03-01-2023,89,1219,436,97.66,0.98,0,1,1,1,1,0,1,58,88,88,69,89,58,69,89,58,99,0.898989899,1994,0.611334002,2,0,0.024807318,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,West US,VM
03-01-2023,67,1378,252,97.66,0.98,0,1,1,1,1,0,1,53,88,88,68.33333333,85,53,68.33333333,85,53,99,0.676767677,1992,0.691767068,2,0,0.031176979,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,West US,Storage
03-01-2023,73,716,451,97.66,0.98,0,1,1,1,1,0,1,99,88,88,74.66666667,99,52,74.66666667,99,52,99,0.737373737,1995,0.358897243,2,0,0.015647861,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,West US,Container
03-01-2023,94,1564,356,97.66,0.98,0,1,1,1,1,0,1,51,88,88,72.66666667,94,51,72.66666667,94,51,99,0.949494949,1994,0.784353059,1,0,-0.037190425,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,North Europe,VM
03-01-2023,64,564,208,97.66,0.98,0,1,1,1,1,0,1,96,88,88,70.33333333,96,51,70.33333333,96,51,99,0.646464646,1992,0.28313253,2,0,-0.016173249,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,North Europe,Storage
03-01-2023,73,1652,335,97.66,0.98,0,1,1,1,1,0,1,96,88,88,83.66666667,96,73,83.66666667,96,73,99,0.737373737,1995,0.828070175,1,0,0.042808364,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Europe,Container
03-01-2023,73,1586,338,97.66,0.98,0,1,1,1,1,0,1,66,88,88,77.33333333,93,66,77.33333333,93,66,99,0.737373737,1994,0.795386158,1,0,-0.027538439,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Southeast Asia,VM
03-01-2023,66,891,362,97.66,0.98,0,1,1,1,1,0,1,55,88,88,65.66666667,76,55,65.66666667,76,55,99,0.666666667,1992,0.447289157,2,0,-0.012783298,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Southeast Asia,Storage
03-01-2023,84,788,460,97.66,0.98,0,1,1,1,1,0,1,53,88,88,71.33333333,84,53,71.33333333,84,53,99,0.848484848,1995,0.394987469,1,0,-0.006792312,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Southeast Asia,Container
04-01-2023,91,730,240,115.79,1.08,0,2,1,1,2,0,1,93,88,88,92,96,88,92,96,88,99,0.919191919,1994,0.366098295,2,0,-0.006059501,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,East US,VM
04-01-2023,77,634,400,115.79,1.08,0,2,1,1,2,0,1,85,92,88,86.75,93,77,86.75,93,77,99,0.777777778,1992,0.318273092,2,0,0.011293958,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,East US,Storage
04-01-2023,57,1279,232,115.79,1.08,0,2,1,1,2,0,1,57,70,88,67.5,86,57,67.5,86,57,99,0.575757576,1995,0.641102757,0,0,0.044307584,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,East US,Container
04-01-2023,97,1002,261,115.79,1.08,0,2,1,1,2,0,1,89,60,88,76,97,58,76,97,58,99,0.97979798,1994,0.502507523,2,0,-0.025930729,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,West US,VM
04-01-2023,73,1304,298,115.79,1.08,0,2,1,1,2,0,1,67,85,88,69.5,85,53,69.5,85,53,99,0.737373737,1992,0.654618474,0,0,-0.037849862,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,West US,Storage
04-01-2023,93,1225,234,115.79,1.08,0,2,1,1,2,0,1,73,52,88,79.25,99,52,79.25,99,52,99,0.939393939,1995,0.614035088,2,0,-0.030252951,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,West US,Container
04-01-2023,50,1112,330,115.79,1.08,0,2,1,1,2,0,1,94,73,88,67,94,50,67,94,50,99,0.505050505,1994,0.557673019,2,0,0.03869249,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,North Europe,VM
04-01-2023,50,1528,417,115.79,1.08,0,2,1,1,2,0,1,64,51,88,65.25,96,50,65.25,96,50,99,0.505050505,1992,0.767068273,0,0,0.014581081,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,North Europe,Storage
04-01-2023,63,1370,482,115.79,1.08,0,2,1,1,2,0,1,73,82,88,78.5,96,63,78.5,96,63,99,0.636363636,1995,0.686716792,0,0,-0.021409321,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Europe,Container
04-01-2023,58,706,214,115.79,1.08,0,2,1,1,2,0,1,73,93,88,72.5,93,58,72.5,93,58,99,0.585858586,1994,0.354062187,2,0,0.031594694,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Southeast Asia,VM
04-01-2023,75,1391,378,115.79,1.08,0,2,1,1,2,0,1,66,76,88,68,76,55,68,76,55,99,0.757575758,1992,0.698293173,1,0,0.036137,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Southeast Asia,Storage
04-01-2023,81,1242,440,115.79,1.08,0,2,1,1,2,0,1,84,77,88,73.75,84,53,73.75,84,53,99,0.818181818,1995,0.622556391,0,0,0.034651434,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Southeast Asia,Container
05-01-2023,81,984,430,95.31,1.05,0,3,1,1,3,0,1,91,96,88,89.8,96,81,89.8,96,81,99,0.818181818,1994,0.493480441,1,0,0.041892653,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,East US,VM
05-01-2023,94,1694,228,95.31,1.05,0,3,1,1,3,0,1,77,93,88,88.2,94,77,88.2,94,77,99,0.949494949,1992,0.850401606,1,0,-0.024775898,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,East US,Storage
05-01-2023,85,1024,359,95.31,1.05,0,3,1,1,3,0,1,57,86,88,71,86,57,71,86,57,99,0.858585859,1995,0.513283208,1,0,0.025504193,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,East US,Container
05-01-2023,56,1766,285,95.31,1.05,0,3,1,1,3,0,1,97,58,88,72,97,56,72,97,56,99,0.565656566,1994,0.885656971,0,0,-0.00394605,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,West US,VM
05-01-2023,77,1077,369,95.31,1.05,0,3,1,1,3,0,1,73,53,88,71,85,53,71,85,53,99,0.777777778,1992,0.540662651,1,0,0.034199855,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,West US,Storage
05-01-2023,94,1512,333,95.31,1.05,0,3,1,1,3,0,1,93,99,88,82.2,99,52,82.2,99,52,99,0.949494949,1995,0.757894737,0,0,0.022849068,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,West US,Container
05-01-2023,77,1551,307,95.31,1.05,0,3,1,1,3,0,1,50,51,88,69,94,50,69,94,50,99,0.777777778,1994,0.777833501,1,0,0.027644745,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,North Europe,VM
05-01-2023,93,1863,485,95.31,1.05,0,3,1,1,3,0,1,50,96,88,70.8,96,50,70.8,96,50,99,0.939393939,1992,0.935240964,2,0,0.015616184,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,North Europe,Storage
05-01-2023,60,1871,430,95.31,1.05,0,3,1,1,3,0,1,63,96,88,74.8,96,60,74.8,96,60,99,0.606060606,1995,0.937844612,2,0,-0.032257123,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Europe,Container
05-01-2023,82,1908,482,95.31,1.05,0,3,1,1,3,0,1,58,66,88,74.4,93,58,74.4,93,58,99,0.828282828,1994,0.956870612,0,0,0.004502692,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Southeast Asia,VM
05-01-2023,62,1782,397,95.31,1.05,0,3,1,1,3,0,1,75,55,88,66.8,76,55,66.8,76,55,99,0.626262626,1992,0.894578313,2,0,0.048466974,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Southeast Asia,Storage
05-01-2023,57,1934,336,95.31,1.05,0,3,1,1,3,0,1,81,53,88,70.4,84,53,70.4,84,53,99,0.575757576,1995,0.969423559,2,0,0.043738807,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Southeast Asia,Container
06-01-2023,86,1748,433,95.37,0.95,0,4,1,1,4,0,1,81,93,88,89.16666667,96,81,89.16666667,96,81,99,0.868686869,1994,0.87662989,1,0,-0.045682626,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,East US,VM
06-01-2023,93,1163,359,95.37,0.95,0,4,1,1,4,0,1,94,85,88,89,94,77,89,94,77,99,0.939393939,1992,0.583835341,0,0,-0.033518518,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,East US,Storage
06-01-2023,81,1995,432,95.37,0.95,0,4,1,1,4,0,1,85,57,88,72.66666667,86,57,72.66666667,86,57,99,0.818181818,1995,1,1,0,-0.036827123,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,East US,Container
06-01-2023,98,941,251,95.37,0.95,0,4,1,1,4,0,1,56,89,88,76.33333333,98,56,76.33333333,98,56,99,0.98989899,1994,0.471915747,1,0,0.022597991,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,West US,VM
06-01-2023,61,1909,312,95.37,0.95,0,4,1,1,4,0,1,77,67,88,69.33333333,85,53,69.33333333,85,53,99,0.616161616,1992,0.958333333,1,0,0.031778533,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,West US,Storage
06-01-2023,86,1451,280,95.37,0.95,0,4,1,1,4,0,1,94,73,88,82.83333333,99,52,82.83333333,99,52,99,0.868686869,1995,0.727318296,1,0,-0.028648863,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,West US,Container
06-01-2023,98,501,329,95.37,0.95,0,4,1,1,4,0,1,77,94,88,73.83333333,98,50,73.83333333,98,50,99,0.98989899,1994,0.251253761,1,0,0.000585269,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,North Europe,VM
06-01-2023,77,1354,423,95.37,0.95,0,4,1,1,4,0,1,93,64,88,71.83333333,96,50,71.83333333,96,50,99,0.777777778,1992,0.679718876,1,0,0.034070303,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,North Europe,Storage
06-01-2023,82,884,325,95.37,0.95,0,4,1,1,4,0,1,60,73,88,76,96,60,76,96,60,99,0.828282828,1995,0.443107769,1,0,0.023280154,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Europe,Container
06-01-2023,51,1576,371,95.37,0.95,0,4,1,1,4,0,1,82,73,88,70.5,93,51,70.5,93,51,99,0.515151515,1994,0.790371113,0,0,0.004223721,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Southeast Asia,VM
06-01-2023,75,1939,446,95.37,0.95,0,4,1,1,4,0,1,62,66,88,68.16666667,76,55,68.16666667,76,55,99,0.757575758,1992,0.973393574,2,0,0.009034769,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Southeast Asia,Storage
06-01-2023,53,1962,402,95.37,0.95,0,4,1,1,4,0,1,57,84,88,67.5,84,53,67.5,84,53,99,0.535353535,1995,0.983458647,1,0,0.000836055,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Southeast Asia,Container
07-01-2023,66,1266,493,102.42,0.81,1,5,1,1,5,1,1,86,91,88,85.85714286,96,66,85.85714286,96,66,99,0.666666667,1994,0.634904714,1,0,-0.020245155,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,East US,VM
07-01-2023,73,1383,297,102.42,0.81,1,5,1,1,5,1,1,93,77,88,86.71428571,94,73,86.71428571,94,73,99,0.737373737,1992,0.694277108,1,0,0.006502199,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,East US,Storage
07-01-2023,55,1481,439,102.42,0.81,1,5,1,1,5,1,1,81,57,88,70.14285714,86,55,70.14285714,86,55,99,0.555555556,1995,0.74235589,1,0,0.01888853,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,East US,Container
07-01-2023,65,1108,400,102.42,0.81,1,5,1,1,5,1,1,98,97,88,74.71428571,98,56,74.71428571,98,56,99,0.656565657,1994,0.555667001,1,0,0.037332292,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,West US,VM
07-01-2023,55,963,458,102.42,0.81,1,5,1,1,5,1,1,61,73,88,67.28571429,85,53,67.28571429,85,53,99,0.555555556,1992,0.483433735,1,0,0.013629135,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,West US,Storage
07-01-2023,69,1263,346,102.42,0.81,1,5,1,1,5,1,1,86,93,88,80.85714286,99,52,80.85714286,99,52,99,0.696969697,1995,0.633082707,2,0,0.026112154,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,West US,Container
07-01-2023,69,1363,398,102.42,0.81,1,5,1,1,5,1,1,98,50,88,73.14285714,98,50,73.14285714,98,50,99,0.696969697,1994,0.683550652,2,0,-0.033992837,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,North Europe,VM
07-01-2023,90,1428,327,102.42,0.81,1,5,1,1,5,1,1,77,50,88,74.42857143,96,50,74.42857143,96,50,99,0.909090909,1992,0.71686747,1,0,-0.003844253,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,North Europe,Storage
07-01-2023,88,837,328,102.42,0.81,1,5,1,1,5,1,1,82,63,88,77.71428571,96,60,77.71428571,96,60,99,0.888888889,1995,0.419548872,2,0,-0.049066838,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Europe,Container
07-01-2023,60,972,350,102.42,0.81,1,5,1,1,5,1,1,51,58,88,69,93,51,69,93,51,99,0.606060606,1994,0.487462387,0,0,-0.025332114,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Southeast Asia,VM
07-01-2023,80,1821,298,102.42,0.81,1,5,1,1,5,1,1,75,75,88,69.85714286,80,55,69.85714286,80,55,99,0.808080808,1992,0.914156627,1,0,0.022646172,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Southeast Asia,Storage
07-01-2023,56,643,311,102.42,0.81,1,5,1,1,5,1,1,53,81,88,65.85714286,84,53,65.85714286,84,53,99,0.565656566,1995,0.322305764,0,0,0.049180995,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Southeast Asia,Container
08-01-2023,98,501,453,82.75,0.94,1,6,1,1,6,1,1,66,81,88,87.28571429,98,66,87.375,98,66,99,0.98989899,1994,0.251253761,0,1,-0.04008219,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,East US,VM
08-01-2023,61,952,236,82.75,0.94,1,6,1,1,6,1,1,73,94,92,82.28571429,94,61,83.5,94,61,99,0.616161616,1992,0.477911647,1,0,-0.009850568,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,East US,Storage
08-01-2023,81,1514,208,82.75,0.94,1,6,1,1,6,1,1,55,85,70,71.71428571,86,55,71.5,86,55,99,0.818181818,1995,0.758897243,2,0,0.030007097,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,East US,Container
08-01-2023,90,1622,346,82.75,0.94,1,6,1,1,6,1,1,65,56,60,79,98,56,76.625,98,56,99,0.909090909,1994,0.813440321,0,0,-0.029596437,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,West US,VM
08-01-2023,97,707,330,82.75,0.94,1,6,1,1,6,1,1,55,77,85,69,97,53,71,97,53,99,0.97979798,1992,0.354919679,1,0,0.005508495,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,West US,Storage
08-01-2023,69,651,253,82.75,0.94,1,6,1,1,6,1,1,69,94,52,83.28571429,99,69,79.375,99,52,99,0.696969697,1995,0.326315789,0,0,0.02330713,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,West US,Container
08-01-2023,82,1127,274,82.75,0.94,1,6,1,1,6,1,1,69,77,73,74.42857143,98,50,74.25,98,50,99,0.828282828,1994,0.565195587,0,0,0.011598545,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,North Europe,VM
08-01-2023,98,1943,303,82.75,0.94,1,6,1,1,6,1,1,90,93,51,81.14285714,98,50,77.375,98,50,99,0.98989899,1992,0.975401606,0,0,-0.031197527,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,North Europe,Storage
08-01-2023,69,753,426,82.75,0.94,1,6,1,1,6,1,1,88,60,82,75.85714286,96,60,76.625,96,60,99,0.696969697,1995,0.377443609,0,0,-0.014461543,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Europe,Container
08-01-2023,97,1009,298,82.75,0.94,1,6,1,1,6,1,1,60,82,93,69.57142857,97,51,72.5,97,51,99,0.97979798,1994,0.506018054,2,0,0.028379178,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Southeast Asia,VM
08-01-2023,74,1413,393,82.75,0.94,1,6,1,1,6,1,1,80,62,76,69.57142857,80,55,70.375,80,55,99,0.747474747,1992,0.709337349,0,0,0.005422651,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Southeast Asia,Storage
08-01-2023,84,1456,368,82.75,0.94,1,6,1,1,6,1,1,56,57,77,66.85714286,84,53,68.125,84,53,99,0.848484848,1995,0.729824561,0,0,-0.049477039,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Southeast Asia,Container
09-01-2023,85,660,267,89.87,1.03,0,0,1,1,0,0,1,98,86,96,85.71428571,98,66,87.11111111,98,66,99,0.858585859,1994,0.330992979,0,0,0.026099076,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,East US,VM
09-01-2023,82,897,476,89.87,1.03,0,0,1,1,0,0,1,61,93,93,80.71428571,94,61,83.33333333,94,61,99,0.828282828,1992,0.450301205,2,0,-0.046468865,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,East US,Storage
09-01-2023,97,1915,334,89.87,1.03,0,0,1,1,0,0,1,81,81,86,73.28571429,97,55,74.33333333,97,55,99,0.97979798,1995,0.959899749,0,0,0.024573378,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,East US,Container
09-01-2023,52,900,327,89.87,1.03,0,0,1,1,0,0,1,90,98,58,78.14285714,98,52,73.88888889,98,52,99,0.525252525,1994,0.451354062,0,0,-0.029751944,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,West US,VM
09-01-2023,82,1187,221,89.87,1.03,0,0,1,1,0,0,1,97,61,53,73.14285714,97,55,72.22222222,97,53,99,0.828282828,1992,0.595883534,2,0,0.045807348,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,West US,Storage
09-01-2023,95,537,429,89.87,1.03,0,0,1,1,0,0,1,69,86,99,82.71428571,95,69,81.11111111,99,52,99,0.95959596,1995,0.269172932,2,0,-0.013205925,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,West US,Container
09-01-2023,94,1062,463,89.87,1.03,0,0,1,1,0,0,1,82,98,51,80.57142857,98,50,76.44444444,98,50,99,0.949494949,1994,0.532597793,2,0,-0.017306838,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,North Europe,VM
09-01-2023,76,526,425,89.87,1.03,0,0,1,1,0,0,1,98,77,96,78.28571429,98,50,77.22222222,98,50,99,0.767676768,1992,0.264056225,0,0,-0.035111195,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,North Europe,Storage
